frame_idx,time_elapsed_ms,fps,process_time_us,physics_time_us,node_count,npc_count,memory_bytes
0,5,145.0,0.4,0.4,377,50,296028419
1,13,145.0,0.4,0.4,377,50,296029735
2,19,145.0,0.4,0.4,377,50,296029947
3,26,145.0,0.4,0.4,377,50,296030183
4,33,145.0,0.4,0.4,377,50,296030371
5,40,145.0,0.4,0.4,377,50,296030631
6,47,145.0,0.4,0.4,377,50,296030819
7,54,145.0,0.4,0.4,377,50,296031007
8,61,145.0,0.4,0.4,377,50,296031291
9,68,145.0,0.4,0.4,377,50,296031479
10,73,145.0,0.4,0.4,377,50,296031667
11,83,145.0,0.4,0.4,377,50,296031855
12,88,145.0,0.4,0.4,377,50,296032187
13,93,145.0,0.4,0.4,377,50,296032375
14,103,145.0,0.4,0.4,377,50,296032563
15,108,145.0,0.4,0.4,377,50,296032767
16,116,145.0,0.4,0.4,377,50,296032971
17,123,145.0,0.4,0.4,377,50,296033175
18,130,145.0,0.4,0.4,377,50,296033595
19,136,145.0,0.4,0.4,377,50,296033799
20,144,145.0,0.4,0.4,377,50,296034003
21,151,145.0,0.4,0.4,377,50,296034207
22,157,145.0,0.4,0.4,377,50,296034411
23,164,145.0,0.4,0.4,377,50,296034615
24,171,145.0,0.4,0.4,377,50,296034819
25,178,145.0,0.4,0.4,377,50,296035023
26,185,145.0,0.4,0.4,377,50,296035227
27,192,145.0,0.4,0.4,377,50,296035767
28,199,145.0,0.4,0.4,377,50,296035971
29,204,145.0,0.4,0.4,377,50,296036175
30,213,145.0,0.4,0.4,377,50,296036379
31,219,145.0,0.4,0.4,377,50,296036583
32,226,145.0,0.4,0.4,377,50,296036787
33,234,145.0,0.4,0.4,377,50,296036991
34,240,145.0,0.4,0.4,377,50,296037195
35,246,145.0,0.4,0.4,377,50,296037399
36,254,145.0,0.4,0.4,377,50,296037603
37,259,145.0,0.4,0.4,377,50,296037807
38,267,145.0,0.4,0.4,377,50,296038011
39,272,145.0,0.4,0.4,377,50,296038215
40,281,145.0,0.4,0.4,377,50,296038419
41,289,145.0,0.4,0.4,377,50,296039127
42,294,145.0,0.4,0.4,377,50,296039331
43,303,145.0,0.4,0.4,377,50,296039535
44,309,145.0,0.4,0.4,377,50,296039739
45,314,145.0,0.4,0.4,377,50,296039943
46,323,145.0,0.4,0.4,377,50,296040147
47,330,145.0,0.4,0.4,377,50,296040351
48,337,145.0,0.4,0.4,377,50,296040555
49,344,145.0,0.4,0.4,377,50,296040759
50,351,145.0,0.4,0.4,377,50,296040963
51,356,145.0,0.4,0.4,377,50,296041167
52,365,145.0,0.4,0.4,377,50,296041371
53,371,145.0,0.4,0.4,377,50,296041575
54,378,145.0,0.4,0.4,377,50,296041779
55,385,145.0,0.4,0.4,377,50,296041983
56,392,145.0,0.4,0.4,377,50,296042187
57,398,145.0,0.4,0.4,377,50,296042391
58,405,145.0,0.4,0.4,377,50,296042595
59,413,145.0,0.4,0.4,377,50,296042799
60,418,145.0,0.4,0.4,377,50,296043003
61,425,145.0,0.4,0.4,377,50,296043207
62,435,145.0,0.4,0.4,377,50,296044155
63,440,145.0,0.4,0.4,377,50,296044359
64,448,145.0,0.4,0.4,377,50,296044563
65,453,145.0,0.4,0.4,377,50,296044767
66,461,145.0,0.4,0.4,377,50,296044971
67,468,145.0,0.4,0.4,377,50,296045175
68,472,145.0,0.4,0.4,377,50,296045379
69,482,145.0,0.4,0.4,377,50,296045583
70,488,145.0,0.4,0.4,377,50,296045787
71,496,145.0,0.4,0.4,377,50,296045991
72,502,145.0,0.4,0.4,377,50,296046195
73,509,145.0,0.4,0.4,377,50,296046399
74,516,145.0,0.4,0.4,377,50,296046603
75,523,145.0,0.4,0.4,377,50,296046807
76,530,145.0,0.4,0.4,377,50,296047011
77,536,145.0,0.4,0.4,377,50,296047215
78,544,145.0,0.4,0.4,377,50,296047419
79,551,145.0,0.4,0.4,377,50,296047623
80,556,145.0,0.4,0.4,377,50,296047827
81,565,145.0,0.4,0.4,377,50,296048031
82,571,145.0,0.4,0.4,377,50,296048235
83,579,145.0,0.4,0.4,377,50,296048439
84,585,145.0,0.4,0.4,377,50,296048643
