frame_idx,time_elapsed_ms,fps,process_time_us,physics_time_us,node_count,npc_count,memory_bytes
0,6,145.0,0.7,0.4,627,100,298116703
1,13,145.0,0.7,0.4,627,100,298118091
2,20,145.0,0.7,0.4,627,100,298118303
3,26,145.0,0.7,0.4,627,100,298118539
4,32,145.0,0.7,0.4,627,100,298118727
5,40,145.0,0.7,0.4,627,100,298118987
6,46,145.0,0.7,0.4,627,100,298119175
7,55,145.0,0.7,0.4,627,100,298119363
8,60,145.0,0.7,0.4,627,100,298119647
9,69,145.0,0.7,0.4,627,100,298119835
10,74,145.0,0.7,0.4,627,100,298120023
11,82,145.0,0.7,0.4,627,100,298120211
12,88,145.0,0.7,0.4,627,100,298120543
13,96,145.0,0.7,0.4,627,100,298120731
14,102,145.0,0.7,0.4,627,100,298120919
15,109,145.0,0.7,0.4,627,100,298121123
16,117,145.0,0.7,0.4,627,100,298121327
17,121,145.0,0.7,0.4,627,100,298121531
18,130,145.0,0.7,0.4,627,100,298121951
19,137,145.0,0.7,0.4,627,100,298122155
20,142,145.0,0.7,0.4,627,100,298122359
21,152,145.0,0.7,0.4,627,100,298122563
22,157,145.0,0.7,0.4,627,100,298122767
23,165,145.0,0.7,0.4,627,100,298122971
24,171,145.0,0.7,0.4,627,100,298123175
25,178,145.0,0.7,0.4,627,100,298123379
26,185,145.0,0.7,0.4,627,100,298123583
27,192,145.0,0.7,0.4,627,100,298124123
28,199,145.0,0.7,0.4,627,100,298124327
29,206,145.0,0.7,0.4,627,100,298124531
30,213,145.0,0.7,0.4,627,100,298124735
31,220,145.0,0.7,0.4,627,100,298124939
32,226,145.0,0.7,0.4,627,100,298125143
33,234,145.0,0.7,0.4,627,100,298125347
34,240,145.0,0.7,0.4,627,100,298125551
35,248,145.0,0.7,0.4,627,100,298125755
36,254,145.0,0.7,0.4,627,100,298125959
37,261,145.0,0.7,0.4,627,100,298126163
38,268,145.0,0.7,0.4,627,100,298126367
39,273,145.0,0.7,0.4,627,100,298126571
40,283,145.0,0.7,0.4,627,100,298126775
41,288,145.0,0.7,0.4,627,100,298127483
42,296,145.0,0.7,0.4,627,100,298127687
43,303,145.0,0.7,0.4,627,100,298127891
44,309,145.0,0.7,0.4,627,100,298128095
45,317,145.0,0.7,0.4,627,100,298128299
46,323,145.0,0.7,0.4,627,100,298128503
47,330,145.0,0.7,0.4,627,100,298128707
48,337,145.0,0.7,0.4,627,100,298128911
49,344,145.0,0.7,0.4,627,100,298129115
50,351,145.0,0.7,0.4,627,100,298129319
51,358,145.0,0.7,0.4,627,100,298129523
52,363,145.0,0.7,0.4,627,100,298129727
53,372,145.0,0.7,0.4,627,100,298129931
54,378,145.0,0.7,0.4,627,100,298130135
55,386,145.0,0.7,0.4,627,100,298130339
